Date,open_date,Expiry_Date,Open_Price,Current_Price,previous_highest,current_highest,trade_id,parent_id,initial_lots,active_lots,status,RF,HF,TSL,sum_hh_ll,is_crossover
2005-03-02,2005-02-28,2005-05-26,2103.25,2093.25,2103.25,2103.25,14,2.0,2.0,2.0,Open,6.21,6.36,1913.96,1,False
2005-03-03,2005-01-27,2005-04-28,1955.0,2128.85,2103.25,2128.85,1,,10.0,1.0,Open,4.95,64.35,2064.98,8,False
2005-03-03,2005-01-31,2005-04-28,2057.6,2128.85,2103.25,2128.85,2,1.0,2.0,1.0,Open,5.69,70.72,2086.27,8,True
2005-03-03,2005-02-01,2005-04-28,2059.85,2128.85,2103.25,2128.85,3,1.0,2.0,1.0,Open,5.76,61.92,2064.98,7,True
2005-03-03,2005-02-03,2005-04-28,2079.45,2128.85,2103.25,2128.85,4,1.0,2.0,1.0,Open,5.89,61.84,2064.98,7,False
2005-03-03,2005-02-11,2005-04-28,2082.05,2128.85,2103.25,2128.85,5,1.0,3.0,1.0,Open,6.51,61.85,2064.98,7,False
2005-03-03,2005-02-14,2005-04-28,2098.25,2128.85,2103.25,2128.85,6,1.0,2.0,1.0,Open,6.78,61.87,2064.98,7,False
2005-03-03,2005-02-14,2005-04-28,2098.25,2128.85,2103.25,2128.85,7,1.0,6.0,1.0,Open,6.78,61.87,2064.98,7,False
2005-03-03,2005-02-28,2005-05-26,2103.25,2128.85,2103.25,2128.85,8,1.0,3.0,3.0,Open,5.69,11.79,1958.54,2,False
2005-03-03,2005-02-28,2005-05-26,2103.25,2128.85,2103.25,2128.85,9,5.0,2.0,2.0,Open,6.21,12.86,1958.54,2,False
2005-03-03,2005-02-28,2005-05-26,2103.25,2128.85,2103.25,2128.85,10,7.0,2.0,2.0,Open,6.21,12.86,1958.54,2,False
2005-03-03,2005-02-28,2005-05-26,2103.25,2128.85,2103.25,2128.85,11,6.0,2.0,2.0,Open,6.21,12.86,1958.54,2,False
2005-03-03,2005-02-28,2005-05-26,2103.25,2128.85,2103.25,2128.85,12,3.0,2.0,2.0,Open,6.21,12.86,1958.54,2,False
2005-03-03,2005-02-28,2005-05-26,2103.25,2128.85,2103.25,2128.85,13,4.0,2.0,2.0,Open,6.21,12.86,1958.54,2,False
2005-03-03,2005-02-28,2005-05-26,2103.25,2128.85,2103.25,2128.85,14,2.0,2.0,2.0,Open,6.21,12.86,1958.54,2,False
2005-03-03,2005-03-03,2005-05-26,2128.85,2128.85,2128.85,2128.85,15,7.0,2.0,2.0,Open,6.43,0.0,1937.25,0,False
2005-03-03,2005-03-03,2005-05-26,2128.85,2128.85,2128.85,2128.85,16,3.0,2.0,2.0,Open,6.43,0.0,1937.25,0,False
